Occurred,Lon,Lat,City,State,Country,Shape,Summary,Media,Explanation
4/19/1935,-76.4522844,38.2658897,Lexington Park,MD,USA,Diamond,Diamond with no sides Next to Maryland Navel Air Station in fireball hovers in white smoke and no noise,,
10/1/2022,-76.4522844,38.2658897,Lexington Park,MD,USA,Other,Octagonal shape over rainbow,Y,
4/23/2002,-76.4522844,38.2658897,Lexington Park,MD,USA,Light,White ball of light traveled in a NW direction across the night sky as if materializing and then disappearing while it moved.,,
8/31/2019,-105.1841539,39.8447088,Leyden,CO,USA,Orb,Floating white light and weird shooting star/ufo at the end of the video. ((NUFORC Note: Intriguing video clip sent to NUFORC. PD)),,
1/9/2020,-115.5558612,48.3883645,Libby,MT,USA,Orb,"Bright rotating green, red, yellow blinking lights, silent",,
8/3/2000,-115.5558612,48.3883645,Libby,MT,USA,Disk,"We were watching the white oval object moving east in the clear blue sky, then it just disappeared!",,
3/13/1997,-115.5558612,48.3883645,Libby,MT,USA,Light,fuzzy ball of light hovers then rapidly streaks accross the sky in a southernly direction/8:35PM 3/13/97,,
4/16/2020,-115.5558612,48.3883645,Libby,MT,USA,Light,String of lights over Northwest Montana. ((Starlink satellites)),,
4/14/1963,-115.5558612,48.3883645,Libby,MT,USA,Changing,"Looking S, like a light bar With blue, red, green, purple and white lights that dance. ((NUFORC Note: Star?? PD))",,
7/4/1971,-100.920999,37.0430812,Liberal,KS,USA,Cigar,cigar shaped object appeared low over lake in Great Bend after July 4th fireworks.,,
4/9/1963,-100.920999,37.0430812,Liberal,KS,USA,Changing,Triangle lights with one light moving position to left side.,,
5/20/1994,-100.920999,37.0430812,Liberal,KS,USA,Sphere,2 matalic spears connected to each other hovered in the southern sky for about 15-20 min.,,
4/17/1965,-82.6936822,34.7869865,Liberty,SC,USA,Oval,"Possible u.f.o. sighting in Liberty, SC.",,
4/18/2020,-94.419079,39.246479,Liberty,MO,USA,Light,Clear night. These very tiny solid lights were traveling from the SSW to the NNE. ((Starlink satellites?)),,
11/15/1994,-84.9393979,37.3184064,Liberty,KY,USA,Fireball,orange firery ball/ pouring out green and purple smoke from beneath./ at night-very visible,,
8/15/2000,-120.6645871,47.2544355,Liberty,WA,USA,Light,Bright round light,,
5/25/2023,-111.863551,41.3335516,Liberty,UT,USA,Cigar,I was recording lightning and played it back and saw something fly through the lightning as it flashed,Y,
11/18/2021,-94.419079,39.246479,Liberty,MO,USA,Triangle,"40-50' off the ground, triangle-shaped heading west.",,
4/11/1968,-84.324944,39.7200573,Liberty,OH,USA,Triangle,Object with dim red lights,,
4/22/1941,-94.419079,39.246479,Liberty,MO,USA,Fireball,Fiery blue light.,,
4/22/1933,-84.9393979,37.3184064,Liberty,KY,USA,Cigar,UFO flying inside a chem-trail.,,
4/18/1990,-74.7465527,41.8012002,Liberty,NY,USA,Fireball,2 rays and a star during the light of day,,
4/27/1960,-84.931071,39.6356048,Liberty,IN,USA,Triangle,"Triangular object seen by 2 men in Liberty, IN, with 2 red and 2 white lights and gun metal grey.",,
10/28/2006,-94.419079,39.246479,Liberty,MO,USA,Light,"Orange lights (7) over Liberty, MO flying in V shape",,
11/15/2021,-79.84643751,40.322902150000004,Liberty,PA,USA,Changing,It’s a series of lights that would always go back to being a triangle.,Y,
10/29/2004,-94.419079,39.246479,Liberty,MO,USA,Triangle,"Multi-colored lights in a wide V-formation, hovering, hose or shaft of light lowering with light on end",,
4/14/1967,-82.6936822,34.7869865,Liberty,SC,USA,Cross,It's a bird! It's a plane! It's a what?!,,
11/27/1999,-74.7465527,41.8012002,Liberty,NY,USA,Circle,"While driving with two other people, saw a strange light in the sky.",,
10/18/2003,-94.4482521,32.8845793,Liberty,TX,USA,Light,Lit object spotted near aircraft.,,
4/10/1983,-69.3074579,44.3927438,Liberty,ME,USA,Light,"Very bright light shining on our house in the middle of thick woods for 2+ hours then turning and ""driving"" through trees",,
6/21/2008,-84.931071,39.6356048,Liberty,IN,USA,Fireball,"Liberty, Indiana 11:00 p.m. Orange fireball, low, heading south to north then turning to the west and disappearing from sight.",,
4/5/1999,-94.419079,39.246479,Liberty,MO,USA,Triangle,"Craft seen hovering over houses, when persued it left at a rapid velocity. Similar craft seen a few minutes later.",,
5/27/1993,-84.9393979,37.3184064,Liberty,KY,USA,Cigar,huge black cigar shaped object over central ky.,,
10/15/2008,-74.7465527,41.8012002,Liberty,NY,USA,Light,"just wondering if anyone knows what it was..........i was going to roscoe n.y. opening day of bow season for deer, i was traveling on",,
4/9/1982,-82.6936822,34.7869865,Liberty,SC,USA,Circle,It was a bright green light that looked like it was falling,,
4/12/2015,-69.3074579,44.3927438,Liberty,ME,USA,Light,Fireball in Liberty,,
4/8/1933,-79.5716903,35.8534705,Liberty,NC,USA,Light,large orange bright light with a red aura around it hoovered above the tree line and then took off.,,
4/4/1999,-94.419079,39.246479,Liberty,MO,USA,Disk,"Driving home on the 4th or 5th, I thought it was Easter night. There were not many cars out we saw it while driving. It moved very fas",,
3/24/1992,-79.5716903,35.8534705,Liberty,NC,USA,Triangle,Large triangular object with white lights along the side. Silent,,
4/19/1937,-94.419079,39.246479,Liberty,MO,USA,Light,My wife went to smoke a cig on our backporch and saw about 16 floating moving lights in the sky she called for me in fear and i came ru,,
6/29/2008,-74.7465527,41.8012002,Liberty,NY,USA,Disk,Object hovered in the sky and then shot half way across the sky. There were yellow lights gyrating around it.,,
